2026-05-16 16:29:10,936 - Successfully loaded pretrained weights from: /home/deltax/research/May_bien_ap/try_4/Experiment_2/checkpoints_exp2_pretrain/BiGRU_6L/best.pth
2026-05-16 16:29:20,057 - BEST MODEL UPDATED - MAE_norm: 0.1292 | λ₃=0.1, λ₄=0.2
2026-05-16 16:29:28,803 - BEST MODEL UPDATED - MAE_norm: 0.0766 | λ₃=0.1, λ₄=0.2
2026-05-16 16:29:37,784 - BEST MODEL UPDATED - MAE_norm: 0.0714 | λ₃=0.1, λ₄=0.2
2026-05-16 16:29:46,341 - BEST MODEL UPDATED - MAE_norm: 0.0689 | λ₃=0.1, λ₄=0.2
2026-05-16 16:29:54,947 - BEST MODEL UPDATED - MAE_norm: 0.0677 | λ₃=0.1, λ₄=0.2
2026-05-16 16:30:12,195 - BEST MODEL UPDATED - MAE_norm: 0.0637 | λ₃=0.1, λ₄=0.2
2026-05-16 16:30:20,913 - BEST MODEL UPDATED - MAE_norm: 0.0616 | λ₃=0.1, λ₄=0.2
2026-05-16 16:30:37,635 - BEST MODEL UPDATED - MAE_norm: 0.0592 | λ₃=0.1, λ₄=0.2
2026-05-16 16:30:46,093 - BEST MODEL UPDATED - MAE_norm: 0.0592 | λ₃=0.1, λ₄=0.2
2026-05-16 16:31:10,354 - BEST MODEL UPDATED - MAE_norm: 0.0560 | λ₃=0.1, λ₄=0.2
2026-05-16 16:31:36,735 - BEST MODEL UPDATED - MAE_norm: 0.0534 | λ₃=0.1, λ₄=0.2
2026-05-16 16:31:45,460 - BEST MODEL UPDATED - MAE_norm: 0.0529 | λ₃=0.1, λ₄=0.2
2026-05-16 16:32:20,330 - BEST MODEL UPDATED - MAE_norm: 0.0505 | λ₃=0.1, λ₄=0.2
2026-05-16 16:32:46,632 - BEST MODEL UPDATED - MAE_norm: 0.0484 | λ₃=0.1, λ₄=0.2
2026-05-16 16:33:03,800 - BEST MODEL UPDATED - MAE_norm: 0.0478 | λ₃=0.1, λ₄=0.2
2026-05-16 16:33:20,752 - BEST MODEL UPDATED - MAE_norm: 0.0475 | λ₃=0.1, λ₄=0.2
2026-05-16 16:33:29,670 - BEST MODEL UPDATED - MAE_norm: 0.0474 | λ₃=0.1, λ₄=0.2
2026-05-16 16:33:55,318 - BEST MODEL UPDATED - MAE_norm: 0.0466 | λ₃=0.1, λ₄=0.2
2026-05-16 16:34:30,356 - BEST MODEL UPDATED - MAE_norm: 0.0462 | λ₃=0.1, λ₄=0.2
2026-05-16 16:34:38,946 - BEST MODEL UPDATED - MAE_norm: 0.0462 | λ₃=0.1, λ₄=0.2
2026-05-16 16:35:14,229 - BEST MODEL UPDATED - MAE_norm: 0.0461 | λ₃=0.1, λ₄=0.2
2026-05-16 16:35:22,918 - BEST MODEL UPDATED - MAE_norm: 0.0460 | λ₃=0.1, λ₄=0.2
2026-05-16 16:35:40,433 - BEST MODEL UPDATED - MAE_norm: 0.0460 | λ₃=0.1, λ₄=0.2
2026-05-16 16:35:57,821 - BEST MODEL UPDATED - MAE_norm: 0.0458 | λ₃=0.1, λ₄=0.2
2026-05-16 16:36:06,385 - BEST MODEL UPDATED - MAE_norm: 0.0456 | λ₃=0.1, λ₄=0.2
2026-05-16 16:36:14,891 - BEST MODEL UPDATED - MAE_norm: 0.0454 | λ₃=0.1, λ₄=0.2
2026-05-16 16:36:23,354 - Finished BiGRU6L_l3_0.1_l4_0.2 - Best MAE_norm: 0.0454
