Time,VCF IN (V),Target frequency (Hz),Measured frequency (Hz),Phase (°),Vin (Vrms),Vout (Vrms),Iin (Arms),Iout (Arms),Room Temperature (°C),Transformer Temperature (°C),Vin Peak-Peak (V),Vout Peak-Peak (V),Waveform Data
16:14:57,0.000,Quét tự do,3026.500,1.250,9.780,8.190,1.735,1.517,33.000,31.500,22.900,19.300,Đã lưu OK
16:15:16,0.000,Quét tự do,4004.500,3.640,9.290,7.660,1.629,1.461,32.500,31.250,22.900,18.900,Đã lưu OK
16:15:51,0.000,Quét tự do,5064.800,5.070,9.060,7.300,1.536,1.403,32.750,31.500,22.100,18.500,Đã lưu OK
16:16:28,0.000,Quét tự do,6112.800,7.070,8.810,7.080,1.461,1.354,32.750,31.750,22.100,17.900,Đã lưu OK
16:16:50,0.000,Quét tự do,7178.800,8.580,8.660,6.890,1.391,1.299,32.500,32.500,21.700,17.900,Đã lưu OK
16:17:36,0.000,Quét tự do,7970.700,9.790,8.500,6.660,1.346,1.263,33.000,32.750,21.700,17.500,Đã lưu OK
16:18:00,0.000,Quét tự do,9060.000,11.710,8.290,6.390,1.283,1.203,32.250,33.000,21.300,17.100,Đã lưu OK
16:18:26,0.000,Quét tự do,10174.000,13.880,8.050,6.100,1.234,1.167,33.000,33.250,20.900,16.500,Đã lưu OK
16:18:39,0.000,Quét tự do,15135.000,25.500,7.260,5.110,1.040,0.973,33.500,33.500,20.100,14.700,Đã lưu OK
16:19:06,0.000,Quét tự do,20129.000,18.900,6.940,4.500,0.908,0.859,33.000,33.750,20.500,12.700,Đã lưu OK
16:19:37,0.000,Quét tự do,25094.000,30.000,6.340,3.940,0.810,0.767,33.500,34.000,18.900,10.700,Đã lưu OK
16:20:01,0.000,Quét tự do,29810.000,34.200,6.400,3.800,0.760,0.724,33.750,34.500,18.900,10.700,Đã lưu OK
16:20:30,0.000,Quét tự do,35060.000,40.700,6.790,3.740,0.746,0.712,33.750,34.000,20.100,10.700,Đã lưu OK
16:20:47,0.000,Quét tự do,40130.000,44.400,7.400,3.810,0.764,0.727,34.000,34.000,22.100,11.500,Đã lưu OK
16:21:28,0.000,Quét tự do,45170.000,47.100,8.390,4.010,0.804,0.767,34.000,34.500,24.500,12.100,Đã lưu OK
16:21:42,0.000,Quét tự do,50180.000,48.800,9.470,4.260,0.852,0.811,34.000,34.250,27.700,12.900,Đã lưu OK
