Time(s),Vin(V),Vout(V)
-2.500000E-004,#800233323  1.05308e+01,#800233323  8.85247e+00
-2.499700E-004,1.05308e+01,8.85247e+00
-2.499400E-004,1.05308e+01,9.05348e+00
-2.499100E-004,1.05308e+01,8.85247e+00
-2.498800E-004,1.05308e+01,8.85247e+00
-2.498500E-004,1.01287e+01,8.85247e+00
-2.498200E-004,1.01287e+01,8.85247e+00
-2.497900E-004,1.05308e+01,9.05348e+00
-2.497600E-004,1.05308e+01,8.85247e+00
-2.497300E-004,1.05308e+01,9.05348e+00
-2.497000E-004,1.05308e+01,8.85247e+00
-2.496700E-004,1.05308e+01,9.05348e+00
-2.496400E-004,1.05308e+01,9.05348e+00
-2.496100E-004,1.01287e+01,9.05348e+00
-2.495800E-004,1.05308e+01,8.85247e+00
-2.495500E-004,1.05308e+01,8.85247e+00
-2.495200E-004,1.05308e+01,8.85247e+00
-2.494900E-004,1.01287e+01,8.85247e+00
-2.494600E-004,1.05308e+01,8.85247e+00
-2.494300E-004,1.05308e+01,9.05348e+00
-2.494000E-004,1.01287e+01,9.05348e+00
-2.493700E-004,1.05308e+01,9.05348e+00
-2.493400E-004,1.01287e+01,8.85247e+00
-2.493100E-004,1.05308e+01,9.05348e+00
-2.492800E-004,1.05308e+01,9.05348e+00
-2.492500E-004,1.05308e+01,9.05348e+00
-2.492200E-004,1.05308e+01,9.05348e+00
-2.491900E-004,1.05308e+01,8.85247e+00
-2.491600E-004,1.01287e+01,8.85247e+00
-2.491300E-004,1.05308e+01,9.05348e+00
-2.491000E-004,1.01287e+01,9.05348e+00
-2.490700E-004,1.05308e+01,9.05348e+00
-2.490400E-004,1.05308e+01,8.85247e+00
-2.490100E-004,1.05308e+01,9.05348e+00
-2.489800E-004,1.01287e+01,8.85247e+00
-2.489500E-004,1.05308e+01,9.05348e+00
-2.489200E-004,1.01287e+01,9.05348e+00
-2.488900E-004,1.01287e+01,8.85247e+00
-2.488600E-004,1.01287e+01,8.85247e+00
-2.488300E-004,1.05308e+01,8.85247e+00
-2.488000E-004,1.05308e+01,9.05348e+00
-2.487700E-004,1.05308e+01,8.85247e+00
-2.487400E-004,1.05308e+01,9.05348e+00
-2.487100E-004,1.05308e+01,9.05348e+00
-2.486800E-004,1.05308e+01,9.05348e+00
-2.486500E-004,1.01287e+01,9.05348e+00
-2.486200E-004,1.05308e+01,9.05348e+00
-2.485900E-004,1.01287e+01,9.05348e+00
-2.485600E-004,1.05308e+01,9.05348e+00
-2.485300E-004,1.05308e+01,9.05348e+00
-2.485000E-004,1.05308e+01,8.85247e+00
-2.484700E-004,1.05308e+01,8.85247e+00
-2.484400E-004,1.05308e+01,9.05348e+00
-2.484100E-004,1.05308e+01,8.85247e+00
-2.483800E-004,1.05308e+01,9.05348e+00
-2.483500E-004,1.01287e+01,8.85247e+00
-2.483200E-004,1.05308e+01,8.85247e+00
-2.482900E-004,1.01287e+01,9.05348e+00
-2.482600E-004,1.05308e+01,9.05348e+00
-2.482300E-004,1.05308e+01,9.05348e+00
-2.482000E-004,1.05308e+01,9.05348e+00
-2.481700E-004,1.05308e+01,9.05348e+00
-2.481400E-004,1.05308e+01,9.05348e+00
-2.481100E-004,1.01287e+01,9.05348e+00
-2.480800E-004,1.01287e+01,9.05348e+00
-2.480500E-004,1.05308e+01,9.05348e+00
-2.480200E-004,1.05308e+01,9.05348e+00
